revenue,profit,total_assets,taxes
6606228,137889,11532869,19304
628289,922486,70491139,276745
5387688,474350,95906407,42691
3063089,502027,92731170,30121
8123747,404722,40440497,56661
569526,555572,92058361,27778
4366788,130268,30851496,13026
2863262,241046,29346199,53030
3991949,381288,53380762,45754
1417356,444707,75827184,97835
8019560,153303,20863686,24528
7697808,97669,28799468,18557
1777710,948529,40879555,180220
7085836,954743,7681351,57284
5026854,928167,32869383,74253
7647281,731990,85288644,175677
7973793,988585,14689311,98858
1833500,323612,7754020,55014
2837066,514479,84566515,133764
130774,397359,51443719,79471
9382279,513316,25349062,61597
2104274,468915,4814007,23445
9430315,980137,87194673,264636
4216283,935541,17165584,84198
5840866,875932,59765899,131389
8969327,163566,22926241,16356
5771312,106000,80118542,16960
793115,819160,28622102,139257
1945333,324164,79213364,29174
4458814,171231,58141840,27396
3382000,598567,50888437,161613
2730686,65897,59283365,5930
3686422,486177,37247571,131267
5628077,69488,37264657,19456
6588135,990917,37785744,297275
9516593,168512,12274458,16851
7203156,634376,90779979,171281
8108755,432426,89251519,86485
2823828,226622,86075733,49856
6029593,25038,65131192,1502
3691680,895764,71004734,170195
3194457,295558,3221076,85711
6745154,23067,1557112,1153
2997120,185389,16148185,38931
8604609,609550,64101246,91432
6471621,743798,69144240,133883
7056878,352351,2765865,98658
7772306,857145,26779765,68571
7963729,256820,89772687,69341
9051284,970657,85218534,271783
1159918,994562,92815657,139238
1127474,427791,81967980,94114
5111460,316911,97411513,22183
146830,407367,82278198,105915
9315262,781290,18854507,210948
1560373,291675,4374278,70002
6195748,177461,28027594,35492
4164219,713113,6935348,106966
4366295,918508,9931921,82665
3039254,577933,59393785,132924
6350399,19919,6442039,5178
4394526,49496,11133911,12374
8040730,845015,58781385,50700
7257983,763312,23584470,129763
4816405,757295,90122726,219615
6110867,852659,17900704,51159
9565038,550270,93721513,121059
1457944,197009,60680730,25611
9662696,310856,84719456,31085
9187884,942019,60035076,113042
2870804,200988,41447785,50247
7795512,386798,22948069,54151
8609529,861892,19705460,206854
1224163,908504,73372250,245296
4221185,947058,91420409,236764
6411944,668133,3321026,120263
7403749,247530,20723441,64357
5158867,832310,73203650,133169
2014639,807121,71748577,234065
6783857,414754,30295566,70508
6331234,81919,90849039,22118
7643658,157234,19922278,12578
1676346,55942,48571300,11188
4304490,24917,51979485,1993
7605269,897106,56005465,179421
1331268,759642,8460326,151928
3041325,957602,22734673,210672
8111778,638894,17058347,178890
9215015,631380,38667142,157845
801453,874765,89683422,209943
9193341,605076,90972526,145218
268066,847240,90986506,254172
9220137,122652,41765684,34342
4803628,416106,97279075,37449
700006,511705,39525313,107458
4381031,507171,41199941,40573
6190703,696744,38313930,48772
1796738,571445,74661490,28572
9861894,556988,56278252,128107
2142192,963163,38037291,260054
1333230,486624,69498400,29197
8894197,572955,44853748,103131
8060005,980756,92126276,225573
3510051,875523,56879597,148838
9062149,400932,74512859,100233
1803109,99074,51935403,22787
6864847,520231,74651720,104046
8359174,762023,15388837,137164
3319654,431315,84738713,43131
301321,153744,24712024,29211
1714064,142690,27905715,34245
9255972,17519,60097913,4204
5385760,22860,62350059,6172
6984754,121518,67925851,7291
3573045,667881,22445948,153612
2527331,450058,13242726,90011
7885377,98223,29038267,27502
3578097,668681,79604058,60181
8159951,790694,8342045,173952
523205,553394,43291775,27669
6497403,860292,14451927,240881
8275595,779785,77157776,101372
9441172,732460,33598831,212413
5867257,265495,95746361,21239
8209065,211691,99780721,42338
322270,35712,77702318,4999
1471379,946908,74735660,123098
907451,663053,20845310,79566
9137847,740200,52821742,118432
3518522,601755,1089894,72210
1404747,159922,40229554,39980
5868788,818295,7303913,40914
8841927,97848,91194007,16634
4683989,836099,86748855,242468
6082069,727270,43920639,116363
2509557,805838,9098769,72525
8525935,623957,36483428,112312
8286868,35351,97022678,8837
1576567,493208,46423569,113437
3242841,916185,44703833,164913
1042696,381195,6901118,102922
2042461,321342,96037889,16067
4514580,445131,13252819,48964
9705544,885391,48623584,247909
2067090,357143,32450331,35714
2757041,411489,88462419,106987
4902863,264852,87042297,47673
3065981,370800,83891253,40788
9958302,95542,26326235,17197
8249137,572307,70789264,125907
6373903,794001,28178002,230260
5055256,777528,72166771,202157
9844295,465502,75719476,83790
3703410,190967,96666680,17187
7486824,842898,10623835,118005
2762745,938492,88298058,225238
8288883,940898,9848326,56453
191365,988139,85371215,148220
220483,508423,78940811,111853
3540193,610017,36694979,146404
1756327,658265,37507609,171148
7647632,795302,50726779,230637
1320604,919505,36872982,110340
2815446,688763,34764805,165303
8061931,106937,7178117,24595
1465578,18052,61831339,3068
3464526,67539,88499121,14858
7983597,627801,76064817,188340
407888,973190,16893903,214101
1810318,114263,41609478,6855
1897486,875633,66247510,218908
5407062,144928,54694026,26087
7155318,576288,69345039,46103
1244293,50850,89765718,4576
7018718,350729,82441395,87682
2013763,661637,90357042,138943
3664656,449946,8882636,125984
3185677,470531,9502302,70579
4715214,866737,28722971,251353
1539332,410597,61507372,119073
7202862,140406,93364361,19656
1042477,203547,72506244,52922
4462499,60496,75323689,10284
5754258,416644,45738392,120826
3344365,444046,34320680,115451
8195531,469197,43998123,37535
7937117,466572,52260707,102645
1453983,763277,94576485,53429
3952186,102407,23323523,28673
9443171,621932,41308404,37315
6705244,277991,46235819,66717
109023,179479,72783021,28716
956759,850177,5267610,85017
3245694,288571,30057953,54828
9390594,172663,93884077,50072
921728,432970,88340628,43297
4243766,109092,56531082,10909
2404872,685965,20655326,123473
438134,176255,40462493,31725
9436483,624424,15354976,181082
5378454,323916,8485213,42109
5368503,322481,17478553,87069
4195408,340783,36514050,23854
1841698,171198,23888795,13695
3472221,298610,86636134,47777
8006260,327119,91467431,68694
7864780,39576,29054903,4749
5510147,306629,18644885,64392
6818949,381906,32439565,26733
1928092,58245,45731507,11066
6954683,458890,59031112,27533
7151351,995464,8011508,209047
9923089,991463,18755333,287524
5860129,834651,38961319,50079
4264025,812268,66411253,121840
8176435,532073,95249125,101093
2033880,671701,49518660,188076
3565251,450657,20397596,72105
2547990,874621,81887699,236147
2133812,175763,87171941,29879
4982586,506409,41935521,126602
8383633,583274,36667419,93323
2401612,789328,91762553,110505
8566763,958015,94114305,172442
1722588,509880,70498353,86679
5702812,512575,79266775,143521
9681771,544668,77695263,125273
5643875,816021,34658180,138723
4997704,737573,22969683,66381
228720,785671,95904526,196417
1146702,973549,86317862,292064
9542427,682959,55724462,163910
5949909,222678,28661619,53442
7347381,82537,69671568,15682
5587508,575167,11132984,109281
8414989,71529,66558758,7152
5548163,195809,70539716,15664
8316755,995489,72275176,288691
4471232,873410,80707968,61138
4777754,982965,66128929,176933
6464998,159848,42389039,36765
3125546,636936,7603293,184711
2671505,968752,68887413,116250
8556904,184917,12084035,36983
8040144,393944,31534640,66970
5072021,287355,21164394,43103
2815656,710505,35334696,42630
7792567,944595,22120490,179473
7853432,699142,70655569,48939
4820577,423922,53326837,25435
5767667,543964,70918922,114232
2026143,523902,22396216,36673
3858788,278078,41753648,75081
8857314,684789,71856576,184893
3481716,433445,88090119,26006
8655484,483776,48659666,130619
1312630,265386,21154265,45115
6527148,204228,69093549,22465
6848631,615483,18723762,86167
5807017,725666,67566910,145133
8774338,839407,22624887,184669
2555444,350847,38891680,105254
6283945,627357,65087166,125471
9084536,398204,56327932,107515
8347085,360103,35055065,28808
2921059,574585,27158042,91933
4890690,453734,70637165,108896
4374266,43341,33350715,2600
4070802,253816,6973159,55839
9063747,120054,91202029,32414
7557805,513180,27907099,107767
6112426,929437,35229633,278831
2290888,910381,63374363,200283
2507294,78110,45680140,17184
8288537,93853,6184881,16893
6382550,589283,3316717,135535
4292607,768533,75365413,230559
7971057,131734,88857733,22394
4060807,276279,20627405,60781
4801069,313525,22157810,62705
4305405,13333,63789102,2133
3742745,291386,56740258,58277
6281399,272061,58900417,19044
1903763,256240,95638393,38436
3220865,409254,63995084,110498
4237580,323562,29126998,90597
6360077,786093,36891387,227966
3745087,457761,36762550,64086
2539920,810000,69566265,105300
6835150,90841,49151498,16351
8092157,378471,96896260,68124
4248681,964988,75578197,221947
9917558,531079,25879826,127458
104375,596908,72078187,113412
6313851,304479,18975849,33492
5744717,581562,19406266,127943
5868825,302744,83162163,15137
4586748,771197,22400851,107967
1083374,345168,49832039,93195
3013352,171056,32389987,44474
7451586,846112,10713228,42305
338405,38403,99200934,6528
4532089,106260,50133638,7438
4614418,239081,15536486,33471
6671760,397596,29190428,91447
7534144,347203,57638584,48608
2993005,288336,25253341,20183
6617128,464064,31030098,69609
1050889,815669,1807165,163133
552997,246536,35953467,19722
9423430,630654,35783908,50452
1556506,133897,21614050,8033
5582316,213134,72673937,55414
3683199,380467,84868876,102726
1877227,34364,68907343,4123
1701399,630556,99992210,151333
3240457,722724,43525455,36136
6841078,664342,73729253,39860
9730597,326448,78675801,58760
5446254,420093,38888671,67214
1482717,286572,51969907,14328
3586944,899638,37456182,170931
5409603,692742,45541857,83129
2888815,869395,96788553,252124
3864997,87150,36655177,12201
2873004,281529,89358402,61936
5473033,842251,17281029,252675
7553876,668127,62011095,200438
3140016,481150,34298979,76984
5940637,745072,21262167,81957
3527954,334708,1063803,56900
4903105,249742,84110138,54943
8225469,92843,53788433,10212
4296153,169018,98245692,25352
9634753,288925,56268024,75120
2752595,12799,57316710,2047
5789291,464346,54090304,41791
2447847,715626,43760632,50093
4272877,788024,1423710,86682
7878784,691821,92748489,110691
8100137,307492,86986031,21524
5510204,687797,23177971,144437
8163691,311373,14438678,62274
2190130,102319,27184581,21486
1372446,883961,81462121,229829
4357108,537029,80157209,139627
3062628,254108,32333060,63527
4684119,607805,55657129,176263
2822001,116526,82775883,31462
2259432,173088,68998417,10385
2748911,138254,75716047,20738
2232997,338672,88298790,54187
3165797,798849,83446937,95861
9847826,514129,35231462,123390
3426391,694032,60747695,187388
1598053,813135,91941889,121970
1773958,124772,99937139,37431
9605534,458144,59026049,91628
3151516,798019,43342080,191524
4875293,301383,55828523,48221
7860865,592223,1954175,94755
3454511,853426,45107043,59739
9807047,33618,94197160,8068
4294967,183152,95177444,27472
8711938,783653,29725010,227259
3346812,275840,44387400,60684
3782295,77011,27766225,5390
9346292,18597,73597207,1301
7557683,454961,21881097,40946
235293,724260,42937429,115881
3168129,359669,15699164,28773
6102940,558378,72295249,150762
1747320,212680,18326088,42536
6472087,400052,24051280,100013
6782686,28068,97911324,4210
1530154,528310,28304958,132077
1257113,808066,65219488,96967
772395,135033,29629368,31057
4961538,585597,46636883,40991
7868567,470365,94007579,112887
7490822,357841,25355420,50097
8003632,371544,44655394,100316
8642558,696387,52030979,153205
8202423,243226,93707405,48645
7718229,814462,93597476,48867
4230594,805435,95065608,80543
3143299,14356,37218294,2153
6460287,280217,24814121,47636
3461558,193709,33594798,34867
3908524,661890,75503464,66189
5129862,691109,22248044,124399
1437985,913649,30822746,164456
5753106,491112,10992092,93311
2216660,257529,27635611,18027
9820448,817455,12382519,147141
7848382,894738,54959867,44736
1122662,581086,51201306,69730
2793970,597247,54839509,83614
6461181,122113,83487986,9769
1578844,627483,27142792,37648
5215961,849913,43641431,93490
9638885,804960,88557814,193190
8399263,687172,96555616,158049
9052490,584959,53007602,99443
682926,385277,19821915,57791
1796138,33620,93805519,7732
7344696,166717,15889843,50015
5209238,655859,4653919,52468
2700509,200744,14309429,42156
7137039,21555,73062000,3664
128237,250810,70451170,67718
6701415,277980,86314880,13899
5487294,317306,20488207,22211
2153365,568257,2840859,142064
5560239,451479,40338154,22573
5232849,17029,60483798,2554
5369655,589468,57620677,135577
1730154,314109,73426181,72245
1546108,575267,36561808,132311
3296576,378628,3149867,30290
6378119,326823,87235745,78437
9785692,572504,56562012,160301
7425454,666117,20972205,179851
7414117,948346,90008246,256053
8083292,708681,25075184,113388
1592680,95063,82408455,15210
6006922,687080,23645970,116803
2156647,492248,99816752,118139
3490397,431890,44192840,125248
4305746,868172,68528857,182316
1989515,546910,8273258,164073
577699,585833,41400684,58583
8863141,30039,27861350,5407
4446200,609827,56396498,140260
5470440,495028,99084537,118806
7552377,61964,15325449,3098
2610941,852878,67262321,187633
492938,991717,9149634,138840
3661373,10961,47114321,1644
7581827,23232,69166008,3020
7305365,768279,98600023,61462
1418639,731189,25604396,73118
2810226,347472,18751987,34747
8386566,933804,76470937,74704
1612612,538441,12539632,69997
2325834,538599,71426793,64631
1304495,969929,66533801,87293
4202906,766213,43140587,153242
806676,165783,36764816,28183
5719137,570444,34097795,119793
6862498,647364,99938531,129472
487390,185966,43149543,46491
3433873,448759,68255948,44875
6543046,346801,44534758,86700
303080,360230,43006727,28818
8720257,245960,93359237,63949
8042424,43030,58678856,9466
1681678,199214,20624356,55779
648263,64863,68229729,7783
8587129,454375,68444447,95418
1730147,422932,44989854,93045
6932348,229617,16167045,61996
6048167,484360,25326386,135620
9069445,953571,73452169,228857
8160891,906000,76458410,217440
6830258,923375,90526017,267778
7588050,236108,99710178,30694
5176130,298551,43803635,68666
9944880,92664,61324037,25945
192384,329876,74087678,62676
6610876,296223,52613226,62206
5363164,548643,91084172,87782
2458347,102373,93821867,26616
2172804,247589,77131051,47041
5806339,944602,63002365,207812
9090799,866668,32864511,216667
1568934,177426,2627253,24839
2095172,221982,42585179,46616
8359645,757794,67255605,53045
9941156,489296,1820885,122324
1473388,68920,27269802,13784
5227671,169103,44365491,20292
1900844,617723,17065074,86481
5604299,729375,5026689,204225
6272201,653385,35877636,117609
619823,687447,27902577,54995
3058085,857736,87456415,85773
8684986,74596,81068942,14173
1151015,787906,24885196,204855
973749,44295,62453154,7530
8327764,153588,64193708,43004
4547573,462848,56784252,97198
7045369,269527,28119921,53905
3774786,541977,9916187,146333
7029817,295767,86966969,76899
4065822,450237,63092611,58530
669336,695021,27018335,69502
8484375,57019,33071706,3421
7657947,269155,14312207,78054
2413594,735352,7945646,176484
5817149,582756,29227527,52448
1987561,423285,91555698,33862
2578241,170296,90095978,20435
3261896,251629,8669321,60390
5177965,379915,36220445,26594
5527458,597942,9576859,143506
888053,123682,43324842,29683
4857451,743310,42500173,111496
6935366,709049,9778597,77995
112146,899043,29942756,143846
1731586,740254,59146400,148050
4969600,49010,52725910,3430
9055856,34786,83545340,2087
9788054,571546,72385065,62870
3786745,686871,37363046,54949
2982527,950431,95755620,76034
3117017,963731,34069804,48186
6687778,887726,3942942,239686
4162357,160994,28294690,22539
2168642,652000,78324617,58680
7333881,138585,17653483,37417
8843166,14644,68621824,1464
5378653,180288,99372236,19831
3898249,950166,59665596,199534
6224733,761496,14193942,45689
600206,703893,2610259,91506
3370366,898482,3353193,125787
7323908,292549,74147418,29254
5489165,309651,30598876,30965
9466293,311311,57726900,71601
4535400,150315,61000073,21044
8842083,443129,6344734,110782
597679,886217,2803069,159519
755906,994492,49045585,139228
259497,865690,5587890,51941
9366466,342228,50574986,47911
9425309,712437,8425193,156736
3660233,571648,58278533,85747
1863197,783464,65671052,101850
7435845,809952,12250959,40497
9248933,344284,25706342,92956
1583396,408735,67231540,61310
8420289,723234,99675247,79555
7047438,56079,17261717,4486
7811383,93557,84247041,10291
7652351,733836,93133639,124752
3089522,118218,33936532,22461
3746091,892976,13079484,125016
2476343,402709,79864790,120812
9660747,915513,11630217,238033
5182792,803359,95818401,216906
9888979,592852,9967372,29642
4284760,249195,78843369,52330
677649,424213,5349927,67874
2431385,548560,7591275,120683
7283696,562816,40213394,95678
7631617,946328,93742823,179802
6029600,315713,58994275,37885
6934600,151504,65092900,10605
1934744,759331,29920119,53153
5349872,216201,58124798,38916
3983753,707676,28938422,84921
5591216,21747,1115992,4349
5634410,239965,43052557,69589
7104204,720135,47992892,72013
7436019,105810,69453481,10581
7306703,316335,21679721,60103
4764265,877750,49068275,61442
8850128,676852,1285477,155675
5246919,42253,68760942,2957
9381498,750817,93053401,82589
2959472,36835,37852044,9945
7210221,836093,54561395,167218
5412524,557514,72276387,78051
1035779,184321,23754888,51609
5711453,128961,82149977,30950
9215757,757535,15831550,196959
6695802,205904,39957382,37062
6055982,798311,96012554,95797
2269856,232079,20358668,41774
6361012,847085,95818586,237183
2397782,439129,4267557,48304
5690745,275998,47004280,38639
9782266,940901,2877209,263452
7795204,653592,25448046,169933
8936581,200797,68496416,56223
172024,738220,45028988,44293
6555730,866629,26461014,199324
3213588,455828,71319506,100282
8462864,377006,77238471,45240
3457243,105462,81047012,25310
5313866,801924,53725546,240577
4213287,598444,48731347,35906
9477760,98071,86294908,20594
3559159,481284,5898414,101069
7043722,899316,24892192,125904
4542681,176726,23427068,30043
4744769,466149,88467773,97891
2236909,136034,34812899,20405
2717515,196584,91590990,41282
6556527,471901,58063899,42471
2486520,807831,85524837,218114
7690323,693725,97455120,173431
7731958,727308,60056896,203646
4206506,469020,5269672,107874
5928501,744961,16295018,141542
9800404,461139,31061714,87616
2026800,276000,62197016,16560
4419937,666861,37362866,120034
8361739,840471,80222033,58832
3549908,896617,38778471,134492
8215747,974653,86460934,146197
6138976,486704,71065948,121676
9487595,60443,67067966,16319
3578423,126455,71984973,22761
302975,72097,56133055,10093
9710923,714058,39240022,92827
3547951,400222,70070414,92051
6453011,53600,7835274,16080
8711271,820685,4479221,49241
1759940,742946,97501619,200595
404787,753249,16777828,52727
4105173,967239,96659691,48361
2188024,315539,31528112,78884
478609,483932,31584095,67750
4923559,527534,88767412,126608
2484018,336725,80957245,70712
4348467,113666,62643971,20459
9935181,275446,57846569,52334
8761450,664088,29152793,119535
5656705,933457,71659494,242698
7712210,866658,63121994,225331
8225592,986123,59635705,187363
575932,696931,69202471,153324
3623068,187583,75759736,30013
143540,62791,3025216,8790
3034528,551900,71450183,77266
8578334,227033,45122206,11351
9958157,625633,57640779,43794
7914425,262120,37372826,28833
8160891,694620,45366591,145870
5500762,990697,6301131,108976
8483748,389752,25720384,54565
4364118,327876,2741686,49181
3218266,727952,59708717,131031
2962213,612661,72371257,110278
2169378,857452,95524927,145766
5685969,40447,90201994,8089
5644428,873859,75157717,113601
8149839,397773,82911466,99443
5384936,979010,17432998,254542
8685889,537296,68881118,107459
8656207,442165,81733535,61903
6447642,489865,39643169,48986
5042266,811955,69547358,243586
5734894,675972,83926249,47318
622538,680090,11239016,136018
8615573,738498,27477296,96004
8156606,159954,16869342,17594
2397560,843741,32931782,236247
9768334,28071,95865874,1964
2771617,459901,28848756,41391
4516690,950744,63596191,266208
9163139,935915,43243237,177823
9133901,882185,18719350,149971
1446490,952131,92647454,76170
263724,596588,95005485,89488
6049905,549601,33388263,137400
1986083,309864,5264533,43380
3918298,917434,91362520,247707
1246117,477404,94700889,52514
764764,185814,74864005,42737
1478708,620722,23040171,68279
9678980,874640,4489120,78717
4866366,839146,11270996,209786
1370738,697535,74083163,90679
7287215,938693,21539083,103256
5997922,693156,95380235,41589
8572539,191923,98471007,47980
295504,37011,44678963,5551
7795979,702891,14786348,105433
2320400,159138,8261727,14322
8453217,322391,96260287,41910
132191,911835,77477915,246195
2459982,63459,34860659,5076
9025104,255924,13422702,33270
9369828,838856,12734174,159382
9829645,509206,71603886,122209
5724189,831896,36656983,66551
5898193,708531,97994491,113364
5676186,236628,50996196,56790
9717054,724284,34437772,188313
134898,167896,84755725,35258
5593680,813187,87176818,130109
8697645,827350,63258319,223384
1937080,118339,34466227,23667
9727729,94326,72796137,27354
1051022,105351,3804312,14749
6570233,134573,46519687,25568
7129627,474241,57079854,33196
7478321,184117,54432897,33141
5423762,664814,48526538,66481
989990,77998,13682188,9359
4097091,733945,57140319,58715
8378085,280646,35980941,72967
358364,99852,26754733,13979
228353,296882,6052357,32657
603905,525257,72326814,57778
7633262,651799,17262989,71697
4406087,387818,23288438,34903
6671990,540728,32636374,118960
8329856,500580,9874774,25029
4066249,701954,2143881,154429
8350326,49804,21783016,13945
6901830,999161,88710305,99916
5080758,624546,13266292,162381
6394450,52345,93874263,3664
4312198,513470,59331749,41077
8832907,74740,61908927,10463
2798796,65131,81537787,10420
6125058,48075,9593375,13941
1900795,690142,52881513,179436
3106588,297948,35214359,17876
7502572,69167,53200720,15908
4389586,269532,33200822,61992
721389,386734,53025422,23204
5708422,998511,54920550,159761
9293169,426578,3662467,63986
5290707,339404,23429945,23758
120428,160997,87155471,48299
2348554,991521,40718344,218134
9427430,427122,34843214,46983
1986877,784486,96334416,125517
8210335,967297,43813944,154767
6182758,263537,69768214,73790
9584256,76903,62654075,3845
6461606,758790,36366589,91054
4234759,535641,15378580,53564
5042428,732392,95779656,65915
9545177,157312,50644889,7865
3236321,841932,61400173,252579
409990,890866,94921295,178173
7190058,953825,97977229,219379
4041464,876960,26604697,96465
7090025,38741,53074803,6585
2659366,398600,48602726,59790
1823729,368538,66053791,92134
3891382,259739,42435934,57142
3245790,435685,36360270,74066
1414884,912529,22290200,273758
8594641,958667,84481328,278013
1318303,844088,91139542,185699
4068117,460951,68712335,55314
9569285,87239,64724466,9596
6312112,87088,78941403,11321
8623407,657502,9636540,59175
126334,567103,19766233,119091
6262425,707863,3018148,205280
4760491,45486,91089803,12736
1566686,953617,58161800,143042
9687524,950761,21497318,275720
8433908,318803,55762461,92452
8164750,244163,58231387,19533
2760727,990632,59523531,217939
1136332,148055,78491552,41455
3070873,170428,12119183,42607
5403026,908526,79062139,90852
2170610,409230,70344500,57292
8450289,740198,67621135,96225
1952356,148841,59725882,14884
243833,307846,77047570,43098
8152540,57551,10196404,6330
3430788,236861,15544637,49740
6053231,446791,67267497,49147
1139846,156439,98035777,34416
7087164,224155,24075141,35864
8645186,886284,36053532,88628
8816040,880093,51495631,61606
2929318,482857,69981085,24142
264347,684618,18605297,41077
6857208,564140,57749223,56414
6135555,474028,95505453,123247
9797318,871723,33514312,217930
8605454,814071,32091207,244221
7448906,795804,19222718,198951
873662,309137,33478995,71101
716106,648898,48341477,181691
7506752,788333,29265327,197083
600173,406753,48355546,117958
6408844,667599,64834678,106815
935565,279579,35479909,13978
1553980,466738,32768436,116684
5103278,492795,91929887,93631
4391203,648368,73951580,136157
2753597,751931,71395708,142866
7302087,989169,50646925,148375
5487386,289960,58995777,26096
6065026,807759,60794587,226172
9770172,604186,51075888,42293
7023602,574403,14879429,149344
4044869,12629,21216626,2273
816376,134764,25915964,20214
1756573,222031,30115354,64388
6898636,593464,80839913,166169
1924689,294533,24496329,55961
1009259,195860,59077662,58758
7011207,329837,55452330,79160
6238999,605823,21528766,109048
4069196,731602,29788146,124372
1160535,895603,61759821,170164
9574966,934693,20816543,280407
581148,732448,59545565,109867
691004,166659,48306519,33331
5975962,295038,38468010,85561
4262339,235795,90924365,58948
365183,74830,66535697,5238
5578922,916924,24357472,174215
9816800,289233,52143718,49169
5423004,391571,39331700,19578
9798034,544693,14808495,157960
2630820,426316,40332218,59684
4230372,947394,46492050,123161
5791725,750459,81314712,165100
8292837,908409,18177720,172597
653822,188662,25207815,24526
8604437,175575,66245371,47405
3232808,63315,75192004,9497
9824108,632246,57686400,113804
583925,782713,53626226,148715
9122979,811401,78797683,129824
8793026,601742,33059667,174505
8022200,757525,58043290,174230
5415650,939948,57612934,225587
4517396,573892,26323520,103300
713093,42676,28834540,7681
3519259,277743,50627943,36106
4758258,910438,68020326,145670
2469717,476773,86558141,76283
3203948,877671,93001049,157980
145661,991002,89179379,69370
7571884,479639,60364271,95927
7535418,834785,96440673,225391
3368217,840704,24949071,151326
4749755,231467,96982504,32405
9430378,805040,38650120,88554
2401972,96515,81007798,6756
2195712,250907,45807513,22581
2764747,738311,23736494,169811
404920,909345,96763872,90934
9616526,177742,41073267,28438
5072461,756123,37930316,52928
7119797,672451,55159932,127765
6820958,676328,39964922,155555
9924721,306850,29683052,21479
6894950,950011,48038911,228002
8705767,662753,26561784,125923
6741916,588616,89301155,100064
1602535,147728,28338149,38409
6606895,716504,83490477,143300
5066269,982583,23174017,216168
9402920,988257,30650072,69177
435539,592441,29886308,71092
3813094,321532,18283053,83598
3907776,949147,26850028,56948
6917750,932031,44432142,223687
9382268,835647,71897961,100277
3538866,58126,58088121,4068
1503437,856711,12404304,102805
702528,315495,77393852,91493
1247508,424872,3243219,89223
8677087,89054,3274449,11577
8075256,505038,81715912,146461
779088,902528,69268247,54151
2593292,470095,31849544,94019
6257573,268053,88113152,29485
9693456,481198,18942301,24059
166211,391151,33884334,58672
3839400,996260,77348568,239102
7137866,692096,55307760,76130
8867402,232207,46152915,69662
2330657,548456,3992280,159052
7916661,623119,64974818,105930
1438005,202022,72809435,20202
1962078,253039,65246283,50607
6111563,737056,41368943,73705
1037164,354363,13411871,17718
433106,112594,84120487,22518
9241774,360585,39557997,36058
6118777,428420,73881170,42842
7290434,528485,34035246,100412
571967,221498,26075177,33224
233681,277013,3698889,58172
5250863,834469,7124956,75102
4071079,422317,55846652,25339
8533083,358686,18931884,50216
7898540,633930,27599293,164821
1856002,787434,84033919,204732
8106656,551488,32246845,132357
9660470,843509,71378187,42175
8222719,876575,81011582,131486
5710414,51173,23612316,12281
4865792,691262,84547262,165902
7988456,500994,60451010,65129
688707,973054,7948983,155688
5424682,396777,45872794,31742
7021658,533548,61544682,85367
2290431,667275,3010158,186837
9526181,157058,47160843,40835
3770532,812619,71149723,211280
5194689,970473,3892512,135866
6496934,29162,26697044,4082
2584945,490228,86577975,34315
5783177,584327,4412413,99335
3174945,439515,50448213,61532
